"filename", "language", "Pascal", "comment", "blank", "total"
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\Draw.dpr", "Pascal", 16, 1, 4, 21
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\DrawStandard.dfm", "Pascal", 178, 1326, 1, 1505
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\DrawStandard.pas", "Pascal", 145, 4, 34, 183
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\Packages\Command.pas", "Pascal", 142, 10, 54, 206
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\Packages\Command\CommandManager.pas", "Pascal", 63, 5, 15, 83
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\Packages\Command\Commands.pas", "Pascal", 182, 4, 59, 245
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\Packages\DrawSource.dpk", "Pascal", 15, 25, 7, 47
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\Packages\Graphics\GraphicManager.pas", "Pascal", 46, 2, 16, 64
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\Packages\Graphics\GraphicObject.pas", "Pascal", 128, 8, 42, 178
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\Packages\Graphics\GraphicReceiver.pas", "Pascal", 150, 2, 36, 188
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\Packages\Helper\Tools.pas", "Pascal", 33, 1, 13, 47
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\Packages\History\History.pas", "Pascal", 318, 121, 57, 496
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\Packages\ManageCenter.pas", "Pascal", 196, 27, 36, 259
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\ThirdPackages\Json\SuperJson.dpk", "Pascal", 10, 24, 5, 39
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\ThirdPackages\Json\superdate.pas", "Pascal", 36, 0, 12, 48
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\ThirdPackages\Json\superobject.pas", "Pascal", 5921, 211, 495, 6627
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\ThirdPackages\Json\supertimezone.pas", "Pascal", 1269, 32, 96, 1397
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\ThirdPackages\Json\supertypes.pas", "Pascal", 20, 13, 6, 39
"e:\Desktop\Projects\ObjectPascalDemo\DrawStandard\ThirdPackages\Json\superxmlparser.pas", "Pascal", 1395, 25, 55, 1475
"Total", "-", 10263, 1841, 1043, 13147
